City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,mwene-ditu,-7.0,23.45,27.37,24,85,1.44,CD,1692750063
261,alcantara,-2.4089,-44.4147,27.11,82,47,5.06,BR,1692749826
262,russellville,35.2784,-93.1338,36.7,50,0,2.24,US,1692750063
263,castillos,-34.1667,-53.8333,9.87,91,98,4.24,UY,1692750063
264,piti village,13.4626,144.6933,31.49,81,40,4.12,GU,1692750063
265,abepura,-2.6333,140.5833,29.45,62,20,5.14,ID,1692749777
266,port lincoln,-34.7333,135.8667,13.42,65,100,4.49,AU,1692750064
267,uturoa,-16.7333,-151.4333,24.64,61,2,3.88,PF,1692750064
268,noumea,-22.2763,166.4572,23.99,99,31,4.76,NC,1692750064
269,shiogama,38.3167,141.0333,29.99,74,1,4.78,JP,1692750064
270,tazacorte,28.629,-17.9293,27.86,71,0,4.63,ES,1692750064
271,ampanihy,-24.7,44.75,18.72,65,0,2.88,MG,1692749778
272,colonia,50.9333,6.95,18.87,83,0,1.03,DE,1692750065
273,san patricio,28.017,-97.5169,29.36,82,100,9.35,US,1692750065
274,zouerate,22.7187,-12.4521,35.4,20,83,3.56,MR,1692750065
275,honnali,14.25,75.6667,20.38,97,73,1.63,IN,1692750065
276,carbonear,47.7332,-53.2148,17.46,98,100,1.17,CA,1692750065
277,sisimiut,66.9395,-53.6735,10.33,84,96,2.39,GL,1692750065
278,luganville,-15.5333,167.1667,25.3,80,95,6.53,VU,1692749779
279,horodenka,48.6727,25.5016,18.23,69,0,1.33,UA,1692750066
280,tolanaro,-25.0319,46.9987,21.04,88,20,10.8,MG,1692750066
281,puerto santa,-8.9906,-78.6456,20.24,86,72,4.36,PE,1692750066
282,patos de minas,-18.5789,-46.5181,20.74,22,20,1.74,BR,1692750066
283,hirara,24.8,125.2833,30.15,79,20,4.63,JP,1692750067
284,vila velha,-20.3297,-40.2925,23.97,88,40,2.57,BR,1692750067
285,dehdasht,30.7949,50.5646,30.09,28,16,1.6,IR,1692750067
286,beira,-19.8436,34.8389,19.81,85,0,3.46,MZ,1692750067
287,ulladulla,-35.35,150.4667,14.68,73,61,4.81,AU,1692750067
288,kasane,-17.8167,25.15,19.38,31,58,2.3,BW,1692750068
289,bhamo,24.2667,97.2333,23.53,99,100,0.21,MM,1692749781
290,portage la prairie,49.9728,-98.2926,21.05,78,100,3.09,CA,1692750068
291,kingston,17.997,-76.7936,27.91,82,18,0.45,JM,1692749848
292,ciudad lazaro cardenas,17.9583,-102.2,29.27,76,10,3.38,MX,1692750068
293,guercif,34.2257,-3.3536,26.78,57,0,2.39,MA,1692749781
294,nova sintra,14.8667,-24.7167,24.73,78,92,1.87,CV,1692750068
295,camana,-16.6228,-72.7111,17.97,79,59,2.63,PE,1692750069
296,illizi,26.4833,8.4667,29.89,26,66,3.68,DZ,1692750069
297,porto murtinho,-21.6989,-57.8825,30.43,31,2,3.69,BR,1692750069
298,saipan,15.1355,145.701,31.39,100,40,5.14,MP,1692750069
299,novyy urgal,51.0736,132.5642,19.32,86,93,0.63,RU,1692750069
300,hammerfest,70.6634,23.6821,9.25,93,100,0.0,NO,1692750069
301,mossel bay,-34.1831,22.146,10.96,87,78,8.89,ZA,1692750070
302,tangalle,6.024,80.7911,24.83,91,99,3.89,LK,1692750070
303,joao pinheiro,-17.7425,-46.1725,22.39,23,37,2.16,BR,1692749895
304,noosa heads,-26.3833,153.15,24.08,59,1,1.99,AU,1692749797
305,oakdale,44.963,-92.9649,35.68,58,0,4.63,US,1692750044
306,bom jesus,-9.0744,-44.3586,29.29,34,65,1.92,BR,1692750070
307,uige,-7.6087,15.0613,19.03,87,13,0.67,AO,1692749784
308,coquimbo,-29.9533,-71.3436,15.85,72,0,2.06,CL,1692750068
309,el granada,37.5027,-122.4694,29.4,70,0,9.26,US,1692750071
310,saudarkrokur,65.7461,-19.6394,7.5,93,91,1.18,IS,1692750071
311,kendari,-3.945,122.4989,26.22,74,99,1.32,ID,1692750071
312,olovyannaya,50.95,115.5667,15.48,72,100,4.0,RU,1692750071
313,ust-nera,64.5667,143.2,6.26,98,100,2.28,RU,1692750071
314,chonchi,-42.6128,-73.8092,3.95,95,96,1.61,CL,1692750072
315,oxapampa,-10.5775,-75.4017,17.29,81,59,1.21,PE,1692750072
316,belen,36.4891,36.2233,23.08,83,0,5.66,TR,1692750072
317,acarau,-2.8856,-40.12,25.57,76,50,7.66,BR,1692749889
318,papao,-17.75,-149.55,26.82,64,0,3.73,PF,1692750072
319,nyurba,63.2842,118.3319,10.45,58,7,2.17,RU,1692750072
320,broken hill,-31.95,141.4333,11.01,53,0,3.5,AU,1692750072
321,bukama,-9.2,25.85,24.95,26,2,1.33,CD,1692750073
322,ormara,25.2088,64.6357,26.56,85,97,7.27,PK,1692749786
323,rio grande,-32.035,-52.0986,19.06,94,46,8.51,BR,1692750074
324,sao felix do xingu,-6.6447,-51.995,26.91,60,58,1.22,BR,1692750074
325,marka,1.7159,44.7717,24.68,82,72,5.56,SO,1692750074
326,palikir - national government center,6.9248,158.1611,25.47,94,100,2.06,FM,1692749787
327,forster,-32.1667,152.5167,21.27,50,12,5.65,AU,1692750075
328,berdigestyakh,62.0989,126.6992,7.23,71,51,2.72,RU,1692750075
329,arumbavur,11.3833,78.7333,26.99,75,83,2.06,IN,1692750075
330,newman,37.3138,-121.0208,33.34,30,5,1.34,US,1692750075
331,keene,42.9337,-72.2781,20.39,71,0,0.45,US,1692750075
332,tralee,52.2704,-9.7026,12.47,93,88,1.45,IE,1692750075
333,upper grand lagoon,30.1633,-85.7408,33.08,70,40,3.6,US,1692749788
334,igarka,67.4667,86.5833,10.73,93,99,3.22,RU,1692750076
335,kavaratti,10.5669,72.642,27.57,76,54,4.76,IN,1692750076
336,nema,57.5067,50.5011,5.42,91,62,2.83,RU,1692750076
337,villarrobledo,39.2699,-2.6012,24.88,48,9,4.12,ES,1692749788
338,rahimah,26.7079,50.0619,30.12,54,1,4.02,SA,1692750076
339,kantang,7.4054,99.5156,25.05,100,20,0.0,TH,1692750076
340,greymouth,-42.4667,171.2,9.52,77,96,0.36,NZ,1692750076
341,iskateley,67.6803,53.1512,6.9,95,86,4.73,RU,1692750077
342,afaahiti,-17.75,-149.2833,25.93,63,27,3.22,PF,1692750077
343,senanga,-16.1167,23.2667,18.54,18,3,2.34,ZM,1692749789
344,gospic,44.5461,15.3747,19.83,77,0,2.11,HR,1692750077
345,kruisfontein,-34.0033,24.7314,14.38,87,10,8.83,ZA,1692750077
346,opuwo,-18.0607,13.84,17.68,24,33,1.6,NA,1692750077
347,andovoranto,-18.95,49.1,20.61,83,30,1.0,MG,1692749790
348,happy valley-goose bay,53.3168,-60.3315,13.17,67,20,1.03,CA,1692750078
349,preobrazheniye,42.9019,133.9064,24.22,88,100,1.1,RU,1692750078
350,alofi,-19.0595,-169.9187,22.94,83,75,7.2,NU,1692750078
351,mukalla,14.5425,49.1242,29.35,75,8,1.39,YE,1692750078
352,brigantine,39.4101,-74.3646,22.79,69,0,2.06,US,1692750079
353,peace river,56.2501,-117.286,22.17,64,40,2.57,CA,1692750080
354,puerto armuelles,8.2833,-82.8667,25.05,87,100,1.79,PA,1692750080
355,eno,62.8051,30.1542,11.73,76,100,1.48,FI,1692750080
356,lompoc,34.6391,-120.4579,30.01,73,20,6.26,US,1692750080
357,jeremoabo,-10.075,-38.4808,21.24,91,19,3.2,BR,1692750080
358,geraldton,-28.7667,114.6,7.23,93,0,1.54,AU,1692750081
359,daru,-9.0763,143.2092,25.99,79,69,6.77,PG,1692750081
360,thakhek,17.4103,104.8307,26.06,95,97,1.57,LA,1692749792
361,tosontsengel,48.7567,98.2839,8.11,83,12,0.39,MN,1692750081
362,masaya sur,16.497,121.7456,26.91,81,59,0.54,PH,1692749792
363,draganesti-olt,44.1667,24.5333,25.56,41,0,2.18,RO,1692749792
